pais,indicador,anio,valor
ARG,SP.DYN.LE00.IN,2022,76.064
ARG,SP.DYN.LE00.IN,2021,75.39
ARG,SP.DYN.LE00.IN,2020,75.892
ARG,SP.DYN.LE00.IN,2019,77.284
ARG,SP.DYN.LE00.IN,2018,76.999
ARG,SP.DYN.LE00.IN,2017,76.833
ARG,SP.DYN.LE00.IN,2016,76.308
ARG,SP.DYN.LE00.IN,2015,76.76
ARG,SP.DYN.LE00.IN,2014,76.755
ARG,SP.DYN.LE00.IN,2013,76.491
ARG,SP.DYN.LE00.IN,2012,76.467
ARG,SP.DYN.LE00.IN,2011,76.124
ARG,SP.DYN.LE00.IN,2010,75.721
ARG,SP.DYN.LE00.IN,2009,75.936
ARG,SP.DYN.LE00.IN,2008,75.641
ARG,SP.DYN.LE00.IN,2007,75.006
ARG,SP.DYN.LE00.IN,2006,75.433
ARG,SP.DYN.LE00.IN,2005,75.139
ARG,SP.DYN.LE00.IN,2004,74.855
ARG,SP.DYN.LE00.IN,2003,74.08
ARG,SP.DYN.LE00.IN,2002,74.408
ARG,SP.DYN.LE00.IN,2001,74.186
ARG,SP.DYN.LE00.IN,2000,73.926
BRA,SP.DYN.LE00.IN,2022,73.425
BRA,SP.DYN.LE00.IN,2021,72.75
BRA,SP.DYN.LE00.IN,2020,74.009
BRA,SP.DYN.LE00.IN,2019,75.338
BRA,SP.DYN.LE00.IN,2018,75.109
BRA,SP.DYN.LE00.IN,2017,74.827
BRA,SP.DYN.LE00.IN,2016,74.442
BRA,SP.DYN.LE00.IN,2015,74.332
BRA,SP.DYN.LE00.IN,2014,74.306
BRA,SP.DYN.LE00.IN,2013,73.918
BRA,SP.DYN.LE00.IN,2012,73.552
BRA,SP.DYN.LE00.IN,2011,73.343
BRA,SP.DYN.LE00.IN,2010,73.182
BRA,SP.DYN.LE00.IN,2009,72.948
BRA,SP.DYN.LE00.IN,2008,72.715
BRA,SP.DYN.LE00.IN,2007,72.365
BRA,SP.DYN.LE00.IN,2006,72.037
BRA,SP.DYN.LE00.IN,2005,71.753
BRA,SP.DYN.LE00.IN,2004,71.131
BRA,SP.DYN.LE00.IN,2003,70.72
BRA,SP.DYN.LE00.IN,2002,70.41
BRA,SP.DYN.LE00.IN,2001,70.195
BRA,SP.DYN.LE00.IN,2000,69.737
MEX,SP.DYN.LE00.IN,2022,74.832
MEX,SP.DYN.LE00.IN,2021,70.213
MEX,SP.DYN.LE00.IN,2020,70.133
MEX,SP.DYN.LE00.IN,2019,74.202
MEX,SP.DYN.LE00.IN,2018,74.015
MEX,SP.DYN.LE00.IN,2017,74.138
MEX,SP.DYN.LE00.IN,2016,74.412
MEX,SP.DYN.LE00.IN,2015,74.682
MEX,SP.DYN.LE00.IN,2014,74.797
MEX,SP.DYN.LE00.IN,2013,74.739
MEX,SP.DYN.LE00.IN,2012,74.574
MEX,SP.DYN.LE00.IN,2011,74.365
MEX,SP.DYN.LE00.IN,2010,74.19
MEX,SP.DYN.LE00.IN,2009,74.119
MEX,SP.DYN.LE00.IN,2008,74.152
MEX,SP.DYN.LE00.IN,2007,74.238
MEX,SP.DYN.LE00.IN,2006,74.331
MEX,SP.DYN.LE00.IN,2005,74.376
MEX,SP.DYN.LE00.IN,2004,74.372
MEX,SP.DYN.LE00.IN,2003,74.274
MEX,SP.DYN.LE00.IN,2002,74.106
MEX,SP.DYN.LE00.IN,2001,73.867
MEX,SP.DYN.LE00.IN,2000,73.569
ESP,SP.DYN.LE00.IN,2022,83.0829268292683
ESP,SP.DYN.LE00.IN,2021,83.2292682926829
ESP,SP.DYN.LE00.IN,2020,82.3317073170732
